iter	RMSE
0	83.8682885
1	80.066862
2	76.39094306
3	72.90490847
4	69.6665597
5	66.53013679
6	63.59944259
7	60.78194987
8	58.14795225
9	55.60645648
10	53.18957987
11	50.9107779
12	48.74323412
13	46.70200118
14	44.7861775
15	42.9450587
16	41.18817687
17	39.52993241
18	38.01543736
19	36.55269572
20	35.14847293
21	33.81028718
22	32.55573641
23	31.42021895
24	30.32931311
25	29.28078426
26	28.33794387
27	27.41483602
28	26.5538959
29	25.7328501
30	24.96790551
31	24.23665402
32	23.57239879
33	22.92048416
34	22.3175244
35	21.79212112
36	21.28424015
37	20.81353398
38	20.35573267
39	19.93879229
40	19.53023459
41	19.1671019
42	18.83011113
43	18.53695185
44	18.24897793
45	17.98061089
46	17.73793835
47	17.5264435
48	17.31964041
49	17.13587015
50	16.96768343
51	16.79815648
52	16.64541626
53	16.49906493
54	16.37881563
55	16.26151349
56	16.14950875
57	16.04886848
58	15.96204133
59	15.8739144
60	15.79501757
61	15.72740123
62	15.67014294
63	15.61077463
64	15.54739603
65	15.49451148
66	15.44810083
67	15.40625815
68	15.36196068
69	15.32496504
70	15.28832434
71	15.25753373
72	15.2276009
73	15.19424229
74	15.17225075
75	15.14888419
76	15.12923975
77	15.10575744
78	15.08352209
79	15.06514753
80	15.05078567
81	15.03675611
82	15.02323187
83	15.00327939
84	14.99111362
85	14.97660365
86	14.96945422
87	14.95821855
88	14.94668825
89	14.92892599
90	14.91514967
91	14.90111715
92	14.88185095
93	14.86889338
94	14.84668178
95	14.83136265
96	14.82366728
97	14.816294
98	14.80900665
99	14.79696316
100	14.78464384
101	14.7787456
102	14.76482548
103	14.75836067
104	14.75035767
105	14.74218941
106	14.73402081
107	14.71977154
108	14.71276643
109	14.70331902
110	14.68961751
111	14.6805274
112	14.67444317
113	14.66507821
114	14.65548972
115	14.64688995
116	14.63747293
117	14.62450996
118	14.61597739
119	14.60178584
120	14.59454958
121	14.58204801
122	14.57471841
123	14.56809039
124	14.56249549
125	14.54672484
126	14.53609935
127	14.52419544
128	14.51991231
129	14.51435681
130	14.50908618
131	14.49861983
132	14.49011621
133	14.48026881
134	14.4753556
135	14.47316351
136	14.46540586
137	14.45704937
138	14.45134871
139	14.44830932
140	14.43586352
141	14.42004927
142	14.41562231
143	14.39874948
144	14.3928284
145	14.38196389
146	14.37715911
147	14.36735648
148	14.35422843
149	14.34292219
150	14.3332764
151	14.32280332
152	14.31730027
153	14.31356308
154	14.30568341
155	14.29984676
156	14.29100405
157	14.28033594
158	14.26524153
159	14.25613373
160	14.25224581
161	14.24324458
162	14.2395724
163	14.23298628
164	14.22387735
165	14.21877787
166	14.20791615
167	14.1980626
168	14.19384411
169	14.18232213
170	14.17797774
171	14.16895294
172	14.15995875
173	14.15081482
174	14.1442679
175	14.13334401
176	14.12249368
177	14.1101161
178	14.1019311
179	14.09864656
180	14.09316204
181	14.08540489
182	14.07478161
183	14.06493492
184	14.05755596
185	14.05416409
186	14.04232377
187	14.03144551
